;timestamp;Signalname;interpreted_value
659;67324426147000.0;S-A;c
660;67324726182000.0;S-A;a
661;67339066790300.0;S-A;e
662;67339366838400.0;S-A;a
663;67355566506500.0;S-A;c
664;67355866498000.0;S-A;a
665;67372307173600.0;S-A;e
666;67372507304000.0;S-A;a
667;67395647133900.0;S-A;c
668;67395947222600.0;S-A;a
669;67416168113700.0;S-A;c
670;67416468123700.0;S-A;a
671;67433268833200.0;S-A;e
672;67433569014000.0;S-A;a
673;67436207794800.0;S-A;e
674;67436507961000.0;S-A;a
675;67448088628300.0;S-A;c
676;67448388452400.0;S-A;a
677;67449948555300.0;S-A;c
678;67452348566200.0;S-A;a
679;67485589040800.0;S-A;e
680;67485789407500.0;S-A;a
681;67501729713600.0;S-A;e
682;67502029716600.0;S-A;a
683;67547760197600.0;S-A;c
684;67550960072100.0;S-A;a
685;67558980441200.0;S-A;e
686;67559280248100.0;S-A;a
687;67564320863900.0;S-A;e
688;67564520942700.0;S-A;a
689;67608902132900.0;S-A;c
690;67609101552700.0;S-A;a
691;67627182763500.0;S-A;e
692;67627382212300.0;S-A;a
693;67667282295600.0;S-A;c
694;67669783769200.0;S-A;a
695;67674723927600.0;S-A;e
696;67675023870200.0;S-A;a
697;67680063503200.0;S-A;e
698;67680363772400.0;S-A;a
699;67740724828500.0;S-A;c
700;67741224957100.0;S-A;a
701;67781045020400.0;S-A;e
702;67781244372900.0;S-A;a
703;67799104889200.0;S-A;c
704;67799404918000.0;S-A;a
705;67810565577200.0;S-A;e
706;67810865308800.0;S-A;a
707;67835415439200.0;S-A;c
708;67835615450900.0;S-A;a
709;67862236690200.0;S-A;c
710;67862536617500.0;S-A;a
711;67910478643100.0;S-A;e
712;67910778358000.0;S-A;a
713;67922118400800.0;S-A;e
714;67922518002600.0;S-A;a
715;67961577546400.0;S-A;c
716;67961877684200.0;S-A;a
717;68018059311200.0;S-A;e
718;68018358573500.0;S-A;a
719;68059399757900.0;S-A;c
720;68059599788000.0;S-A;a
721;68063720425800.0;S-A;c
722;68063920129200.0;S-A;a
723;68084660087400.0;S-A;e
724;68085059887800.0;S-A;a
725;68117120497800.0;S-A;c
726;68117320087400.0;S-A;a
727;68160570909600.0;S-A;e
728;68160871209500.0;S-A;a
729;68187272534600.0;S-A;e
730;68187572372400.0;S-A;a
731;68230172197200.0;S-A;c
732;68230371816200.0;S-A;a
733;68244512843900.0;S-A;c
734;68244712837200.0;S-A;a
735;68260653208100.0;S-A;e
736;68260852261800.0;S-A;a
737;68263233934200.0;S-A;e
738;68263533151300.0;S-A;a
739;68271272421000.0;S-A;c
740;68271472422300.0;S-A;a
741;68289933869700.0;S-A;e
742;68290233829500.0;S-A;a
743;68317653464000.0;S-A;c
744;68317953514800.0;S-A;a
745;68352154303400.0;S-A;c
746;68352554061600.0;S-A;a
747;68552868003600.0;S-A;e
748;68553168018100.0;S-A;a
749;68567507672800.0;S-A;c
750;68567707942000.0;S-A;a
751;68705930914500.0;S-A;e
752;68706231257300.0;S-A;a
753;68730770616800.0;S-A;c
754;68730970679100.0;S-A;a
755;68891943706400.0;S-A;e
756;68892144037400.0;S-A;a
757;68911983304800.0;S-A;c
758;68912283318200.0;S-A;a
759;68935564682200.0;S-A;e
760;68935864374500.0;S-A;a
761;68950563963800.0;S-A;c
762;68950864363900.0;S-A;a
763;68971985504200.0;S-A;e
764;68972185178400.0;S-A;a
765;69021006355900.0;S-A;e
766;69021405991300.0;S-A;a
767;69025626096000.0;S-A;e
768;69025926927400.0;S-A;a
769;69034026145200.0;S-A;c
770;69034225889600.0;S-A;a
771;69043865936600.0;S-A;c
772;69044065932600.0;S-A;a
773;69074466336800.0;S-A;e
774;69074766668500.0;S-A;a
775;69120857257400.0;S-A;c
776;69121157344000.0;S-A;a
777;69154097667200.0;S-A;e
778;69154397644100.0;S-A;a
779;69157817807400.0;S-A;e
780;69158017853200.0;S-A;a
781;69163098177800.0;S-A;c
782;69163298244400.0;S-A;a
783;69178458758200.0;S-A;c
784;69178758914400.0;S-A;a
785;69187639380400.0;S-A;e
786;69187939288400.0;S-A;a
787;69199158476900.0;S-A;e
788;69199358504200.0;S-A;a
789;69208099488000.0;S-A;e
790;69210099798400.0;S-A;a
791;69562035325700.0;S-A;c
792;69562335720200.0;S-A;a
793;69575535794400.0;S-A;c
794;69575735910800.0;S-A;a
795;69578596213700.0;S-A;c
796;69578795976900.0;S-A;a
797;69630566257100.0;S-A;e
798;69633466602100.0;S-A;a
799;69642987956000.0;S-A;c
800;69646188106000.0;S-A;a
801;69723868255300.0;S-A;e
802;69724168264200.0;S-A;a
803;69763049401000.0;S-A;c
804;69763349262600.0;S-A;a
805;69786990032400.0;S-A;e
806;69787189874000.0;S-A;a
807;69879630904000.0;S-A;c
808;69879931006500.0;S-A;a
809;69908192369000.0;S-A;e
810;69908492278200.0;S-A;a
811;69911971478400.0;S-A;e
812;69912271491200.0;S-A;a
813;69918931694000.0;S-A;c
814;69919132058000.0;S-A;a
815;69924392191000.0;S-A;c
816;69924592287300.0;S-A;a
817;69956672356400.0;S-A;e
818;69956872574500.0;S-A;a
819;69972163512200.0;S-A;c
820;69972463330600.0;S-A;a
821;69981343396000.0;S-A;e
822;69981643426800.0;S-A;a
823;69995563406500.0;S-A;e
824;69995763418700.0;S-A;a
825;70001143378400.0;S-A;c
826;70001343312100.0;S-A;a
827;70008284456700.0;S-A;e
828;70008684589500.0;S-A;a
829;70015744187600.0;S-A;c
830;70015944422400.0;S-A;a
831;70025624574500.0;S-A;e
832;70025924661600.0;S-A;a
833;70032403827700.0;S-A;c
834;70032604121300.0;S-A;a
835;70036964072900.0;S-A;c
836;70037264102800.0;S-A;a
837;70037923985900.0;S-A;c
838;70038424085900.0;S-A;a
839;70038724363100.0;S-A;c
840;70039024195700.0;S-A;a
841;70043044211600.0;S-A;c
842;70043244278800.0;S-A;a
843;70050524495500.0;S-A;e
844;70050824431600.0;S-A;a
845;70054004703500.0;S-A;e
846;70054304890800.0;S-A;a
847;70080584971300.0;S-A;a
848;70080785070100.0;S-A;a
849;70089105251000.0;S-A;c
850;70089405498700.0;S-A;a
851;70106565458500.0;S-A;e
852;70106866181700.0;S-A;a
853;70118085662000.0;S-A;c
854;70119986038700.0;S-A;a
855;70184207507100.0;S-A;e
856;70184707623100.0;S-A;a
857;70198067322600.0;S-A;c
858;70198267185300.0;S-A;a
859;70253808527700.0;S-A;c
860;70254308672900.0;S-A;a
861;70270559869900.0;S-A;e
862;70270859825400.0;S-A;a
863;70273379404300.0;S-A;e
864;70273679426700.0;S-A;a
865;70288859591200.0;S-A;c
866;70289159656200.0;S-A;a
